name,price,high,low,start,yesterday,volume,transaction
케이씨씨글라스,"29,950","31,750","29,900","31,750","32,450","166,125","5,118"
NH프라임리츠,"4,435","4,490","4,400","4,490","4,470","29,273",130
센트랄모텍,"27,150","29,950","27,050","29,950","29,850","166,539","4,757"
현대에너지솔루션,"28,700","31,350","28,150","30,850","31,500","327,948","9,827"
한화시스템,"10,000","10,550","9,950","10,400","10,350","752,702","7,715"
자이에스앤디,"6,970","7,480","6,580","7,310","7,420","348,725","2,495"
롯데리츠,"5,130","5,210","5,110","5,210","5,190","318,246","1,638"
지누스,"82,400","89,700","81,000","86,200","86,200","214,096","18,602"
두산솔루스,"42,250","45,700","40,650","45,100","45,700","632,679","27,735"
두산퓨얼셀,"37,600","42,050","35,600","42,000","42,700","1,692,905","66,966"
제이콘텐트리,"28,750","31,450","28,600","31,350","32,000","278,272","8,262"
포스코케미칼,"89,400","94,300","87,600","91,200","93,100","896,712","81,708"
현대오토에버,"41,300","43,950","41,100","42,500","42,800","112,172","4,786"
드림텍,"16,850","18,800","16,300","17,200","17,200","4,279,041","76,177"
더블유게임즈,"74,700","78,300","74,200","76,100","76,800","149,764","11,503"
우리금융지주,"8,810","9,070","8,770","9,000","9,100","1,781,693","15,834"
에어부산,"3,695","3,900","3,650","3,900","4,070","660,036","2,487"
아시아나IDT,"19,350","20,800","19,200","20,550","21,100","286,720","5,752"
세아제강,"72,800","79,000","72,500","78,900","78,900","21,474","1,625"
하나제약,"23,400","24,650","23,350","24,050","24,100","253,452","6,106"
우진아이엔에스,"7,200","7,700","7,130","7,600","7,750","57,181",423
신한알파리츠,"6,470","6,620","6,420","6,620","6,610","183,111","1,189"
한일시멘트,"84,900","89,900","84,900","89,900","90,000","4,873",422
티웨이항공,"2,710","2,865","2,700","2,810","3,000","340,118",946
롯데정보통신,"34,450","35,950","34,250","35,800","36,200","46,457","1,635"
효성중공업,"41,100","45,250","40,600","45,100","45,050","278,756","12,007"
효성첨단소재,"134,000","143,500","130,000","139,000","142,000","163,168","22,486"
효성티앤씨,"109,500","114,000","109,000","113,500","115,500","21,794","2,423"
효성화학,"103,000","109,500","102,000","109,500","110,500","36,096","3,802"
이리츠코크렙,"5,230","5,400","5,220","5,330","5,400","105,584",559
